Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.8981997091885445,
MONAI_LHU-Net,0.9582051759620882,
Vision_Language_U-Net_CLIP,0.953296137418387,
nnU-Net_STU-Net,0.9597930938118335,
nnU-Net_ResEncL,0.9617866931096563,
nnU-Net_MedNeXt,0.9621633799570911,
MONAI_UNETR,0.7263007202795361,
Vision_Language_Swin_UNETR_CLIP,0.949167238341047,
MONAI_SegVol,0.955377726509886,
MONAI_UCTransNet,0.9443168330175433,
nnU-Net_NexToU,0.9570761452305991,
_SAM-Adapter,0.8356640073369732,
_Diff-UNet,0.9602605189917223,
MONAI_Swin_UNETR,0.8952840238247277,
nnU-Net_U-Net,0.9548529383689724,
